row_index,reason,ref_keyinvoice,ref_woocomerce,categoria,subcategoria,marca,nome,cor,tamanho,gtin
1,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Bordeaux E Branco,37.5,000
2,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Bordeaux E Branco,38,000
4,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Bordeaux E Branco,39.5,000
26,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÈLIA,Azul Navy E Creme,38.5,000
27,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÈLIA,Azul Navy E Creme,39.5,000
76,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Branco E Azul Bebe,36,000
80,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Branco E Azul Bebe,39,000
82,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Castanho E Cinza,38,000
83,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HÉLIA,Castanho E Cinza,38.5,000
88,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HELIA,Branco E Verde Claro,37,000
90,GTIN inválido (menos de 8 dígitos),5731,,Senhora,Sapato Raso,SORRISO,HELIA,Branco E Verde Claro,38,000
139,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Preto,35,000
140,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Preto,36,000
141,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Preto,37,000
142,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Preto,38,000
143,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Preto,39,000
146,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Bordeaux,35,000
149,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Bordeaux,38,000
151,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Bordeaux,40,000
152,GTIN inválido (menos de 8 dígitos),2740,,Senhora,Sandálias,SORRISO,HELIANA,Creme E Bordeaux,41,000
153,GTIN inválido (menos de 8 dígitos),6864,,Senhora,Sapato Raso,SORRISO,NICOLY,Mel Camurça,35,000
159,GTIN inválido (menos de 8 dígitos),6864,,Senhora,Sapato Raso,SORRISO,NICOLY,Azul Navy,35,000
164,GTIN inválido (menos de 8 dígitos),6864,,Senhora,Sapato Raso,SORRISO,NICOLY,Azul Navy,37.5,000
168,GTIN inválido (menos de 8 dígitos),7079,,Senhora,Sandálias,SORRISO,JÙLIA,Preto,35,000
